Data,Ano,Mes,Mes_Nome,Ano_Mes,Trimestre,Dia_Semana,Dia_Mes,Semana_Ano
2017-09-20,2017,9,Setembro,2017-09,3,Quarta-feira,20,38
2017-09-21,2017,9,Setembro,2017-09,3,Quinta-feira,21,38
2017-09-22,2017,9,Setembro,2017-09,3,Sexta-feira,22,38
2017-09-23,2017,9,Setembro,2017-09,3,Sábado,23,38
2017-09-24,2017,9,Setembro,2017-09,3,Domingo,24,38
2017-09-25,2017,9,Setembro,2017-09,3,Segunda-feira,25,39
2017-09-26,2017,9,Setembro,2017-09,3,Terça-feira,26,39
2017-09-27,2017,9,Setembro,2017-09,3,Quarta-feira,27,39
2017-09-28,2017,9,Setembro,2017-09,3,Quinta-feira,28,39
2017-09-29,2017,9,Setembro,2017-09,3,Sexta-feira,29,39
2017-09-30,2017,9,Setembro,2017-09,3,Sábado,30,39
